"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CPNE8",2.0902673274777e-13,-2.45370265532746,0.373,0.857,6.19429819824743e-09,"CPNE8"
"SMAD6",2.11862620590213e-13,-1.86739779222678,0.045,0.519,6.27833689857037e-09,"SMAD6"
"U47924.27",2.15468253089921e-13,-1.8069168917255,0.009,0.442,6.38518621206672e-09,"U47924.27"
"TMEM44",2.23329104154746e-13,-1.79844801569242,0.191,0.74,6.61813467252175e-09,"TMEM44"
"COL1A1",2.28395396524198e-13,-3.56349854820465,0.345,0.805,6.76826918059807e-09,"COL1A1"
"SYNE4",2.28726371345852e-13,-2.09003425394756,0.145,0.701,6.77807728846298e-09,"SYNE4"
"ENTPD2",2.28848731222921e-13,-1.65977368087633,0.009,0.442,6.78170330106003e-09,"ENTPD2"
"DNAAF3",2.30286885577936e-13,-1.75719088226108,0.027,0.494,6.82432156721657e-09,"DNAAF3"
"ZNF503-AS2",2.36390958908412e-13,-2.206419972259,0.018,0.455,7.00520967629187e-09,"ZNF503-AS2"
"FKBP10",2.42791422836078e-13,-2.69500757670233,0.073,0.558,7.19488102432434e-09,"FKBP10"
"TYMP",2.47893331676053e-13,-1.90690199829639,0.964,1,7.34607099088814e-09,"TYMP"
"RP11-350J20.12",2.49600825680248e-13,-2.72113995926925,0.045,0.519,7.39667086820848e-09,"RP11-350J20.12"
"ABLIM3",2.52685764049807e-13,-3.07488056267143,0.073,0.532,7.48808993185197e-09,"ABLIM3"
"ZNF697",2.54111958837748e-13,-2.45129465377321,0.009,0.429,7.53035378819783e-09,"ZNF697"
"TMEM217",2.60541217522884e-13,-2.50937279128866,0.082,0.571,7.72087844007314e-09,"TMEM217"
"SLC25A29",2.66405877192701e-13,-2.35583813067196,0.355,0.87,7.89467176472851e-09,"SLC25A29"
"CBX2",2.68343488490494e-13,-1.06098908544759,0.082,0.584,7.95209093792729e-09,"CBX2"
"ERN2",2.7437462571593e-13,-3.66726798730411,0.027,0.468,8.13081765846588e-09,"ERN2"
"CCDC170",2.77947950276183e-13,-2.28122743480117,0.164,0.662,8.23670955848442e-09,"CCDC170"
"ACVRL1",2.78430868444892e-13,-2.76823758464025,0.164,0.649,8.25102035549593e-09,"ACVRL1"
"CTTNBP2NL",2.83444708486483e-13,-2.50208055792981,0.318,0.818,8.39960049128842e-09,"CTTNBP2NL"
"CXCL16",3.03607062815182e-13,-2.39148440332082,0.655,0.948,8.99709169946511e-09,"CXCL16"
"LAMA5",3.042167929436e-13,-2.31979524298851,0.336,0.831,9.01516044209063e-09,"LAMA5"
"NAMPT",3.08698173979464e-13,-2.05677225800731,0.9,1,9.14796168770745e-09,"NAMPT"
"FBXL19",3.11040567174191e-13,-2.09981885897636,0.218,0.831,9.21737616763997e-09,"FBXL19"
"MFAP2",3.3615734505183e-13,-2.62956992924305,0.018,0.455,9.96168676326594e-09,"MFAP2"
"OLFML2B",3.4217834451778e-13,-3.4721386708046,0.118,0.584,1.01401130614399e-08,"OLFML2B"
"PPFIA3",3.49658466425456e-13,-2.00672039087662,0.109,0.636,1.0361778994052e-08,"PPFIA3"
"HBA1",3.55042032541527e-13,-3.13113606229809,0.255,0.779,1.05213155923356e-08,"HBA1"
"KCTD14",3.55460293169256e-13,-1.82719101741965,0.027,0.481,1.05337103277777e-08,"KCTD14"
"GRIN2D",3.65567003580313e-13,-2.25870981393982,0.009,0.429,1.0833212584099e-08,"GRIN2D"
"ANO8",3.66877088224041e-13,-2.04328005704055,0.082,0.61,1.08720356324312e-08,"ANO8"
"KIF1B",3.66897624333381e-13,-2.20483786790934,0.545,0.922,1.08726441994954e-08,"KIF1B"
"IMPA2",3.70270637211495e-13,-2.324230211146,0.482,0.844,1.09726000631255e-08,"IMPA2"
"ASAP2",3.72640253954983e-13,-2.03182437499408,0.164,0.714,1.1042821285702e-08,"ASAP2"
"TUBA1C",3.73906831297866e-13,-1.94253214675135,0.9,0.987,1.1080355038681e-08,"TUBA1C"
"LINC01503",3.75968531858153e-13,-2.29003456177664,0.273,0.779,1.11414514730845e-08,"LINC01503"
"CMBL",3.76228908030694e-13,-3.09274829254385,0.273,0.805,1.11491674605816e-08,"CMBL"
"SRD5A3",3.7839373505338e-13,-2.36672027851813,0.7,0.948,1.12133199445719e-08,"SRD5A3"
"SYT12",3.79623133366825e-13,-2.50250559619728,0.055,0.532,1.12497519341925e-08,"SYT12"
"NLRP3",3.82261247671422e-13,-2.09364910376138,0.427,0.857,1.13279298134949e-08,"NLRP3"
"LOX",3.88321159377656e-13,-2.92045155072024,0.009,0.429,1.15075092369975e-08,"LOX"
"SLC6A9",3.89050532150517e-13,-1.83287291032918,0.073,0.571,1.15291234697484e-08,"SLC6A9"
"GCNT4",3.90534724456356e-13,2.46976095852555,0.782,0.338,1.15731060245397e-08,"GCNT4"
"ZNF618",3.93482021708997e-13,-2.48263811319246,0.273,0.792,1.16604462313244e-08,"ZNF618"
"IL20RB",3.9810237206436e-13,-2.24735070539808,0.109,0.623,1.17973656937552e-08,"IL20RB"
"HES1",4.10358957805499e-13,-2.06668756911742,0.727,0.961,1.21605773556082e-08,"HES1"
"KISS1",4.12464592701538e-13,-1.91081032364094,0.009,0.429,1.22229757401174e-08,"KISS1"
"TK1",4.22294331665967e-13,-2.19349642418405,0.573,0.961,1.25142702245893e-08,"TK1"
"SHANK2",4.3385635921063e-13,-2.15091670147991,0.027,0.468,1.28568993488478e-08,"SHANK2"
"DVL1",4.63251894204319e-13,-2.23418224580176,0.364,0.87,1.37280066328508e-08,"DVL1"
"HCAR3",4.89378356477409e-13,-2.80384448577739,0.209,0.662,1.45022382158515e-08,"HCAR3"
"C2CD4B",5.01607528584169e-13,-2.61743962383633,0,0.403,1.48646375020633e-08,"C2CD4B"
"THSD4",5.01607528584169e-13,-1.55185033969719,0,0.403,1.48646375020633e-08,"THSD4"
"PIK3R3",5.44122464310099e-13,-2.73289780859484,0.2,0.766,1.61245251073655e-08,"PIK3R3"
"POMT2",5.5898729685409e-13,-2.04801354656008,0.191,0.727,1.65650295549741e-08,"POMT2"
"ADAMTS1",5.65369033325892e-13,-1.86380052739039,0.055,0.532,1.67541459335795e-08,"ADAMTS1"
"CCDC113",5.83798860566616e-13,-0.886760080090552,0.036,0.506,1.73002954340311e-08,"CCDC113"
"TMEM150C",6.01109752902875e-13,-3.34084252784724,0.173,0.714,1.78132864175238e-08,"TMEM150C"
"TMEM163",6.23491748064021e-13,-2.30955379545186,0.182,0.714,1.84765544621292e-08,"TMEM163"
"ACOT11",6.24657200019794e-13,-2.52381099902632,0.173,0.662,1.85110914653866e-08,"ACOT11"
"STAP2",6.26882969310331e-13,-1.96860229675579,0.3,0.844,1.85770499125424e-08,"STAP2"
"FGFR3",6.27999805726696e-13,-1.6539638988535,0.009,0.429,1.86101462429049e-08,"FGFR3"
"ALDH7A1",6.40375460686637e-13,-2.07630361425779,0.318,0.818,1.89768864019878e-08,"ALDH7A1"
"FNIP2",6.40647523652648e-13,-2.2260749248633,0.727,0.961,1.89849487159226e-08,"FNIP2"
"DLEU7",6.43133275743531e-13,-2.69148034473834,0.118,0.597,1.90586114933838e-08,"DLEU7"
"MRAS",6.51801709987374e-13,-2.07966385774472,0.327,0.831,1.93154918737658e-08,"MRAS"
"ARHGEF28",6.60836703221474e-13,-1.57024809579444,0.027,0.481,1.95832348632652e-08,"ARHGEF28"
